comp,post_bugs,size,complexity,prior_changes,change_churn,prior_bugs,total,minor,major,ownership,entropy,review_rate,review_churn_rate,voters,minor_voters,major_voters,voter_ownership,self_reviews,too_quick,little_discussion,median_revspeed,mean_revspeed,median_discussion,mean_discussion,minor_wrote_no_major_revd,minor_wrote_no_owner_revd,median_voterscore,mean_voterscore,actors,minor_actors,major_actors,actor_ownership,owner_more_author,median_maxexp,mean_maxexp,median_minexp,mean_minexp,subsystem,DataClass,TraditionBreaker,SchizophrenicClass,GodClass,GodModule,SchizophrenicModule,DataModule,FeatureEnvy,DataClumps,SiblingDuplication,InternalDuplication,ExternalDuplication,MessageChains
CMake,0,4,0.250000019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,1,1,1,1,0.3,0.3,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Examples/DataRepresentation/Image,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,5,1,1,1,1,0.3,0.3,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Examples/Filtering,0,1217,0.009860312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,5,1,1,1,1,0.3,0.3,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Examples/IO,0,72,0.01388889,1,34,0,1,0,1,1,0,1,1,3,0,3,1,0,0,0,25588.19118,25588.19118,0.029411765,0.029411765,1,1,0,0,6,0,6,1,0,1,1,0.65,0.65,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Examples/IO/XML,0,89,0.269662922,1,323,0,1,0,1,1,0,1,1,2,0,2,1,0,0,0,19.72722651,19.72722651,0.000508388,0.000508388,0,0,0,0,3,0,3,1,1,1,1,0.5,0.5,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Examples/Registration,0,472,0,1,6,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0.5,5,0,5,1,1,1,1,0.4,0.4,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Examples/Segmentation,0,352,0.005681818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,5,1,1,1,1,0.3,0.3,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/Bridge/VTK/include,0,232,0.323275862,2,4,0,2,0,2,0.5,0.977495977,1,1,3,0,3,1,1,1,1,122.0152672,122.0152672,0.004669074,0.004669074,3,3,0,0,9,0,9,0.571428571,0,0.842105263,0.758055854,0.333333333,0.341733903,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/Bridge/VtkGlue/include,0,191,0.141361257,5,109,0,3,0,3,0.4,1,1,1,4,0,4,1,2,2,3,1648.583333,2577.111673,0.291666667,0.271031118,1,1,0,0.114285714,9,0,9,0.75,0,0.75,0.773026316,0.598214286,0.55952381,ITK,1,0,0,0,0,0,0,0,0,0,1,0,0
Modules/Compatibility/Deprecated/include,0,1270,0.212598425,6,609,0,3,0,3,0.666666667,0.98002221,1,1,6,0,6,0.8,3,3,2,58.11658895,157.9293993,0.006952231,0.027324329,0,1,0.083333333,0.166666667,9,0,9,0.636363636,1,0.636363636,0.744628099,0.3125,0.355983994,ITK,7,0,0,1,0,0,0,0,0,1,1,0,0
Modules/Compatibility/V3Compatibility/include,0,571,0.332749562,4,528,1,2,0,2,0.75,0.976915571,1,1,7,0,7,0.75,1,1,1,73.60235319,76.3164029,0.002273387,0.01026305,0,0,0.125,0.291666667,9,0,9,1,1,1,1,0.505084746,0.552199966,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/Core/Common/include,15,20522,0.193353474,72,5058,5,15,8,7,0.194444444,0.981256854,1,1,20,10,10,0.618181818,9,4,12,1254.863636,4996.595342,0.0625,0.165673949,14,40,0.180555556,0.135802469,42,30,12,0.590697674,0,0.590697674,0.575426893,0.5,0.446277459,ITK,12,0,0,0,0,0,0,0,0,0,1,0,0
Modules/Core/FiniteDifference/include,0,292,0.215753425,4,63,0,2,0,2,0.75,0.967215511,1,1,7,0,7,0.75,0,2,1,16.7351577,25.69977752,0.000791139,0.001066997,3,3,0,0.194444444,11,0,11,0.6,1,0.75,0.753245614,0.366666667,0.357225622,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/Core/GPUCommon/include,0,591,0.148900169,9,1490,1,5,0,5,0.222222222,0.985979677,1,1,7,0,7,0.5,0,2,2,205.0272786,924.771905,0.010989011,0.164591398,0,0,0.111111111,0.138888889,10,0,10,0.5,0,1,0.77,0.45,0.396666667,ITK,3,0,0,0,0,0,0,0,0,0,0,0,0
Modules/Core/GPUFiniteDifference/include,0,184,0.293478261,4,580,1,3,0,3,0.5,0.968392514,1,1,5,0,5,0.5,0,1,2,56.32224449,1156.121392,0.002004008,0.334265049,0,0,0.25,0.3125,5,0,5,0.75,0,0.875,0.875,0.541666667,0.541666667,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/Core/ImageAdaptors/include,0,1350,0.204444445,9,216,0,6,0,6,0.333333333,0.989472133,1,1,6,0,6,0.666666667,0,1,1,170.3466552,788.6578747,0.004469774,0.004324549,2,5,0.111111111,0.121212121,17,0,17,0.5,0,0.519230769,0.542587291,0.333333333,0.339959767,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/Core/ImageFunction/include,1,2224,0.190647482,12,811,1,7,0,7,0.5,0.98249575,1,1,11,0,11,0.9,2,2,1,119.0857143,909.1431489,0.006024096,0.041750301,3,6,0.083333333,0.214285714,18,4,14,0.583333333,0,0.587015504,0.621176002,0.333333333,0.369317547,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/Core/Mesh/include,0,1742,0.180252583,6,71,0,2,0,2,0.666666667,0.975890533,1,1,4,0,4,0.666666667,2,1,1,185.3916614,161.2259674,0.006174707,0.005643629,2,2,0.166666667,0.291666667,10,0,10,0.625,0,0.907894737,0.827352472,0.333333333,0.305434783,ITK,1,0,0,0,0,0,0,0,0,0,0,0,0
Modules/Core/QuadEdgeMesh/include,0,2203,0.206082615,6,403,1,4,0,4,0.5,0.992686672,1,1,6,0,6,0.666666667,1,1,2,373.6907254,572.6581614,0.01914108,0.049993386,3,8,0.166666667,0.15625,15,5,10,0.6,1,0.6,0.671089283,0.45,0.461057912,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/Core/SpatialObjects/include,0,2583,0.213704994,6,51,0,5,0,5,0.333333333,0.983100548,1,1,7,0,7,0.8,1,1,1,239.988604,10854.35894,0.005405405,0.070198468,3,4,0.166666667,0.166666667,15,0,15,0.529411765,0,0.590697674,0.645040436,0.352941176,0.344279864,ITK,1,0,0,0,0,0,0,0,1,0,0,0,0
Modules/Core/Transform/include,0,3443,0.146383967,28,2619,2,12,6,6,0.285714286,0.981428724,1,1,13,5,8,0.523809524,5,4,2,302.1943498,952.0394962,0.00976801,0.11851456,3,12,0.214285714,0.179971989,23,8,15,0.610169492,0,0.610169492,0.640798614,0.4,0.425763207,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/Filtering/AnisotropicSmoothing/include,0,535,0.192523365,3,29,0,2,0,2,0.666666667,1,1,1,5,0,5,1,0,1,3,103.6666667,2460.384347,0.111111111,0.092856306,2,2,0,0,11,0,11,0.666666667,0,0.666666667,0.708333333,0.5,0.476851852,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/Filtering/AntiAlias/include,0,50,0.240000002,1,1,0,1,0,1,1,1,1,1,3,0,3,1,0,1,1,4.04193038,4.04193038,0.000791139,0.000791139,1,1,0,0,8,0,8,0.666666667,1,0.666666667,0.777777778,0.25,0.231653747,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/Filtering/BiasCorrection/include,0,498,0.387550201,4,22,0,3,0,3,0.5,0.980591673,1,1,5,0,5,0.75,0,2,2,58.11658895,72.03656418,0.005659407,0.005774741,0,0,0,0.142857143,10,0,10,0.714285714,1,1,0.892051557,0.333333333,0.311779449,ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
