comp,post_bugs,size,complexity,prior_changes,change_churn,prior_bugs,total,minor,major,ownership,entropy,review_rate,review_churn_rate,voters,minor_voters,major_voters,voter_ownership,self_reviews,too_quick,little_discussion,median_revspeed,mean_revspeed,median_discussion,mean_discussion,minor_wrote_no_major_revd,minor_wrote_no_owner_revd,median_voterscore,mean_voterscore,actors,minor_actors,major_actors,actor_ownership,owner_more_author,median_maxexp,mean_maxexp,median_minexp,mean_minexp,subsystem,DataClass,TraditionBreaker,SchizophrenicClass,GodClass,GodModule,SchizophrenicModule,DataModule,FeatureEnvy,DataClumps,SiblingDuplication,InternalDuplication,ExternalDuplication,MessageChains
qtactiveqt.examples/activeqt/comapp,0,155,0.116129033,4,18,0,2,0,2,0.75,1,1,1,5,0,5,1,1,1,2,71.24530516,80.27018237,0.007042254,0.005434502,1,1,0,0,9,0,9,1,0,1,1,1,1,qtactiveqt,0,0,0,0,0,0,0,0,0,0,0,0,0
qtactiveqt.examples/activeqt/dotnet/wrapper/lib,0,72,0.125000001,4,108,0,2,0,2,0.75,1,1,1,5,0,5,1,1,1,2,71.24530516,80.27018237,0.007042254,0.005434502,0,0,0,0,8,0,8,1,0,1,1,1,1,qtactiveqt,0,0,0,0,0,0,0,0,0,0,0,0,0
qtactiveqt.examples/activeqt/hierarchy,0,86,0.104651164,4,54,0,2,0,2,0.75,1,1,1,5,0,5,1,1,1,2,71.24530516,80.27018237,0.007042254,0.005434502,0,0,0,0,8,0,8,1,0,1,1,1,1,qtactiveqt,0,0,0,0,0,0,0,0,0,0,0,0,0
qtactiveqt.examples/activeqt/menus,0,136,0.102941177,4,54,0,2,0,2,0.75,1,1,1,5,0,5,1,0,1,2,71.24530516,80.27018237,0.007042254,0.005434502,0,0,0,0,8,0,8,1,0,1,1,1,1,qtactiveqt,0,0,0,0,0,0,0,0,0,0,0,0,0
qtactiveqt.examples/activeqt/multiple,0,75,0.106666668,4,54,0,2,0,2,0.75,1,1,1,5,0,5,1,0,1,2,71.24530516,80.27018237,0.007042254,0.005434502,0,0,0,0,8,0,8,1,0,1,1,1,1,qtactiveqt,0,0,0,0,0,0,0,0,0,0,0,0,0
qtactiveqt.examples/activeqt/opengl,0,199,0.080402011,4,90,0,2,0,2,0.75,1,1,1,5,0,5,1,0,1,2,71.24530516,80.27018237,0.007042254,0.005434502,0,0,0,0,8,0,8,1,0,1,1,1,1,qtactiveqt,0,0,0,0,0,0,0,0,0,0,0,0,0
qtactiveqt.examples/activeqt/qutlook,0,216,0.143518519,5,58,1,3,0,3,0.6,1,1,1,6,0,6,1,1,2,3,18.33568075,66.04947923,0.007042254,0.054347602,1,1,0,0,10,0,10,1,0,1,1,1,1,qtactiveqt,0,0,0,0,0,0,0,0,0,0,0,0,0
qtactiveqt.examples/activeqt/simple,0,70,0.114285716,4,18,0,2,0,2,0.75,1,1,1,5,0,5,1,0,1,2,71.24530516,80.27018237,0.007042254,0.005434502,0,0,0,0,8,0,8,1,0,1,1,1,1,qtactiveqt,0,0,0,0,0,0,0,0,0,0,0,0,0
qtactiveqt.examples/activeqt/webbrowser,0,120,0.158333334,4,36,0,2,0,2,0.75,1,1,1,5,0,5,1,1,1,2,71.24530516,80.27018237,0.007042254,0.005434502,0,0,0,0,8,0,8,1,0,1,1,1,1,qtactiveqt,0,0,0,0,0,0,0,0,0,0,0,0,0
qtactiveqt.examples/activeqt/wrapper,0,100,0.270000001,4,18,0,2,0,2,0.75,1,1,1,5,0,5,1,1,1,2,71.24530516,80.27018237,0.007042254,0.005434502,0,0,0,0,8,0,8,1,0,1,1,1,1,qtactiveqt,0,0,0,0,0,0,0,0,0,0,0,0,0
qtactiveqt.src/activeqt/container,1,6293,0.218655649,38,1709,7,17,9,8,0.184210526,0.981582126,1,1,20,12,8,1,7,7,8,315.265275,3594.639383,0.045,0.148547116,5,9,0.052631579,0.067583732,31,17,14,1,0,1,1,1,1,qtactiveqt,5,0,1,2,0,0,0,1,3,0,1,0,0
qtactiveqt.src/activeqt/control,2,4819,0.224320398,27,551,5,16,11,5,0.259259259,0.948512645,1,1,20,11,9,1,4,4,8,177.629108,2342.619553,0.055555556,0.172820432,10,12,0.037037037,0.062579821,33,16,17,1,0,1,1,1,1,qtactiveqt,2,0,0,1,1,0,1,1,2,1,3,1,0
qtactiveqt.src/activeqt/doc/snippets,0,325,0.261538462,2,883,0,2,0,2,0.5,1,1,1,4,0,4,1,0,1,0,62.48841065,62.48841065,0.008303555,0.008303555,0,0,0,0,12,0,12,1,0,1,1,1,1,qtactiveqt,0,0,0,0,0,0,0,0,0,0,0,0,0
qtactiveqt.src/activeqt/shared,1,1258,0.247217806,15,753,4,11,0,11,0.2,0.986735096,1,1,13,0,13,1,3,3,4,122.3333333,3488.492517,0.01754386,0.062157804,0,0,0.033333333,0.045833333,26,12,14,1,0,1,1,1,1,qtactiveqt,0,0,0,0,0,0,0,0,0,0,0,0,0
qtactiveqt.src/tools/idc,0,264,0.238636364,4,54,0,2,0,2,0.75,1,1,1,5,0,5,1,1,1,2,71.24530516,80.27018237,0.007042254,0.005434502,1,1,0,0,9,0,9,1,0,1,1,1,1,qtactiveqt,0,0,0,0,0,0,0,0,0,0,0,0,0
qtactiveqt.tools/dumpcpp,0,1360,0.190441177,16,847,4,9,0,9,0.1875,1,1,1,10,0,10,1,5,2,5,303.3922912,12525.4466,0.023532669,0.073559064,0,0,0.125,0.108552632,13,2,11,1,0,1,1,1,1,qtactiveqt,0,0,0,0,0,0,0,0,0,0,0,0,0
qtactiveqt.tools/dumpdoc,0,91,0.186813188,4,54,0,2,0,2,0.75,1,1,1,5,0,5,1,1,1,2,71.24530516,80.27018237,0.007042254,0.005434502,0,0,0,0,10,0,10,1,0,1,1,1,1,qtactiveqt,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/code,1,152,0.032894737,39,24051,0,20,12,8,0.307692308,0.989469554,1,1,31,23,10,1,2,4,1,1.542347737,2.924167408,0.0001489,0.000113615,22,26,0,0.029246795,51,35,16,0.96969697,0,1,0.977582498,0.96969697,0.908733961,qtbase,0,0,0,0,0,0,0,0,0,0,0,0,0
