comp,post_bugs,size,complexity,prior_changes,change_churn,prior_bugs,total,minor,major,ownership,entropy,review_rate,review_churn_rate,voters,minor_voters,major_voters,voter_ownership,self_reviews,too_quick,little_discussion,median_revspeed,mean_revspeed,median_discussion,mean_discussion,minor_wrote_no_major_revd,minor_wrote_no_owner_revd,median_voterscore,mean_voterscore,actors,minor_actors,major_actors,actor_ownership,owner_more_author,median_maxexp,mean_maxexp,median_minexp,mean_minexp,subsystem,DataClass,TraditionBreaker,SchizophrenicClass,GodClass,GodModule,SchizophrenicModule,DataModule,FeatureEnvy,DataClumps,SiblingDuplication,InternalDuplication,ExternalDuplication,MessageChains
qtactiveqt.examples/activeqt/comapp,0,155,0.116129033,1,2,0,1,0,1,1,1,1,1,4,0,4,1,1,0,1,1446.20935,1446.20935,0.006097561,0.006097561,5,5,0,0,9,0,9,1,0,1,1,1,1,qtactiveqt,0,0,0,0,0,0,0,0,0,0,0,0,0
qtactiveqt.examples/activeqt/dotnet/wrapper/lib,0,72,0.125000001,1,12,0,1,0,1,1,1,1,1,4,0,4,1,1,0,1,1446.20935,1446.20935,0.006097561,0.006097561,4,4,0,0,8,0,8,1,0,1,1,1,1,qtactiveqt,0,0,0,0,0,0,0,0,0,0,0,0,0
qtactiveqt.examples/activeqt/hierarchy,0,86,0.104651164,1,6,0,1,0,1,1,1,1,1,4,0,4,1,1,0,1,1446.20935,1446.20935,0.006097561,0.006097561,4,4,0,0,8,0,8,1,0,1,1,1,1,qtactiveqt,0,0,0,0,0,0,0,0,0,0,0,0,0
qtactiveqt.examples/activeqt/menus,0,136,0.102941177,1,6,0,1,0,1,1,1,1,1,4,0,4,1,1,0,1,1446.20935,1446.20935,0.006097561,0.006097561,4,4,0,0,8,0,8,1,0,1,1,1,1,qtactiveqt,0,0,0,0,0,0,0,0,0,0,0,0,0
qtactiveqt.examples/activeqt/multiple,0,75,0.106666668,1,6,0,1,0,1,1,1,1,1,4,0,4,1,1,0,1,1446.20935,1446.20935,0.006097561,0.006097561,4,4,0,0,8,0,8,1,0,1,1,1,1,qtactiveqt,0,0,0,0,0,0,0,0,0,0,0,0,0
qtactiveqt.examples/activeqt/opengl,0,199,0.080402011,1,10,0,1,0,1,1,1,1,1,4,0,4,1,1,0,1,1446.20935,1446.20935,0.006097561,0.006097561,4,4,0,0,8,0,8,1,0,1,1,1,1,qtactiveqt,0,0,0,0,0,0,0,0,0,0,0,0,0
qtactiveqt.examples/activeqt/qutlook,0,216,0.143518519,1,6,0,1,0,1,1,1,1,1,4,0,4,1,1,0,1,1446.20935,1446.20935,0.006097561,0.006097561,6,6,0,0,10,0,10,1,0,1,1,1,1,qtactiveqt,0,0,0,0,0,0,0,0,0,0,0,0,0
qtactiveqt.examples/activeqt/simple,0,70,0.114285716,1,2,0,1,0,1,1,1,1,1,4,0,4,1,1,0,1,1446.20935,1446.20935,0.006097561,0.006097561,4,4,0,0,8,0,8,1,0,1,1,1,1,qtactiveqt,0,0,0,0,0,0,0,0,0,0,0,0,0
qtactiveqt.examples/activeqt/webbrowser,0,120,0.158333334,1,4,0,1,0,1,1,1,1,1,4,0,4,1,1,0,1,1446.20935,1446.20935,0.006097561,0.006097561,4,4,0,0,8,0,8,1,0,1,1,1,1,qtactiveqt,0,0,0,0,0,0,0,0,0,0,0,0,0
qtactiveqt.examples/activeqt/wrapper,0,100,0.270000001,1,2,0,1,0,1,1,1,1,1,4,0,4,1,1,0,1,1446.20935,1446.20935,0.006097561,0.006097561,4,4,0,0,8,0,8,1,0,1,1,1,1,qtactiveqt,0,0,0,0,0,0,0,0,0,0,0,0,0
