comp,post_bugs,size,complexity,prior_changes,change_churn,prior_bugs,total,minor,major,ownership,entropy,review_rate,review_churn_rate,voters,minor_voters,major_voters,voter_ownership,self_reviews,too_quick,little_discussion,median_revspeed,mean_revspeed,median_discussion,mean_discussion,minor_wrote_no_major_revd,minor_wrote_no_owner_revd,median_voterscore,mean_voterscore,actors,minor_actors,major_actors,actor_ownership,owner_more_author,median_maxexp,mean_maxexp,median_minexp,mean_minexp,subsystem,DataClass,TraditionBreaker,SchizophrenicClass,GodClass,GodModule,SchizophrenicModule,DataModule,FeatureEnvy,DataClumps,SiblingDuplication,InternalDuplication,ExternalDuplication,MessageChains
Charts,0,3002,0.343770819,147,15616,5,12,7,5,0.56462585,0.940851724,0.357142857,0.167926113,11,5,6,0.5,9,5,27,2056.462567,-753.9101406,0.083333333,0.124217902,0,0,0.176870748,0.302793458,16,7,9,0.980392157,1,0.980392157,0.969627067,0.980392157,0.969627067,VTK,8,54,5,7,0,0,0,3,0,4,2,0,0
Chemistry,0,597,0.50921273,19,3084,6,5,0,5,0.631578947,0.984571462,0.947368421,0.511024643,6,0,6,1,0,1,4,956.3139535,3053.738733,0.017241379,0.139506252,0,0,0.105263158,0.092879257,8,0,8,0.944444444,0,0.944444444,0.898148148,0.944444444,0.868379132,VTK,0,16,2,1,0,0,0,0,0,0,0,0,0
CMake,0,25,0.080000004,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,1,1,1,1,1,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Common,1,14441,0.290630843,116,44551,14,21,18,3,0.396551724,0.947867271,0.424657534,0.033360871,17,11,6,0.90625,4,2,14,643.5845238,10698.13133,0.040584416,0.129501462,8,18,0.232758621,0.167241379,28,18,10,0.794871795,0,0.794871795,0.748944983,0.794871795,0.707525234,VTK,15,155,7,6,0,0,0,1,16,8,3,0,0
Examples/Build/vtkLocal,0,13,0.615384618,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,1,1,1,1,1,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Examples/Build/vtkMy/Common,0,12,0.833333335,1,8,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,0,1,0,0,0,0,0,0,0,0,0,0,0
Examples/Build/vtkMy/Imaging,0,51,0.568627452,1,6,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,0,1,0,0,0,0,0,0,1,0,0,0,0
Examples/Build/vtkMy/Unsorted,0,12,0.833333335,1,8,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,0,1,0,0,0,0,0,0,0,0,0,0,0
Examples/Charts/Cxx,0,32,0.312500002,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,0,2,1,0,0,0,0,0,0,0,0,0,0
Examples/GUI/Cocoa,0,16,0.125000005,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,1,1,1,1,1,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Examples/GUI/Qt/Events,0,22,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Examples/GUI/Qt/FourPaneViewer,0,28,0.035714289,4,51,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Examples/GUI/Qt/GraphicsView,0,309,0.074433657,2,4,1,2,0,2,0.5,1,1,1,4,0,4,1,0,0,1,595.8333333,595.8333333,0.5,0.5,0,0,0,0,6,0,6,1,0,1,1,1,1,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Examples/GUI/Qt/SimpleView,0,17,0,1,6,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Examples/GUI/Win32/SampleMFC,0,337,0.151335312,2,110,0,2,0,2,0.5,0.980723941,0.5,0.018867925,2,0,2,1,0,0,1,117.2083333,117.2083333,0.083333333,0.083333333,0,0,0,0,6,0,6,1,0,1,1,1,1,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Examples/GUI/Win32/vtkBorland/Package,0,422,0.180094787,1,12,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Examples/GUI/Win32/vtkBorland/ProjectDemo,0,163,0.141104295,2,6,0,2,0,2,0.5,1,0.5,0.666666667,2,0,2,1,0,0,1,117.2083333,117.2083333,0.083333333,0.083333333,0,0,0,0,3,0,3,1,1,1,1,1,1,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Examples/GUI/Win32/vtkMFC/vtkDLG,0,202,0.158415842,2,16,0,2,0,2,0.5,0.962961065,0.5,0.166666667,2,0,2,1,0,0,1,117.2083333,117.2083333,0.083333333,0.083333333,0,0,0,0,6,0,6,1,0,1,1,1,1,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Examples/GUI/Win32/vtkMFC/vtkMDI,0,162,0.209876544,2,12,0,2,0,2,0.5,0.967132018,0.5,0.25,2,0,2,1,0,0,1,117.2083333,117.2083333,0.083333333,0.083333333,0,0,0,0,6,0,6,1,0,1,1,1,1,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Examples/GUI/Win32/vtkMFC/vtkSDI,0,247,0.186234818,2,12,0,2,0,2,0.5,1,0.5,0.25,2,0,2,1,0,0,1,117.2083333,117.2083333,0.083333333,0.083333333,0,0,0,0,6,0,6,1,0,1,1,1,1,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Examples/Infovis/Cxx/ChartView,0,42,0,1,92,0,1,0,1,1,1,1,1,2,0,2,1,0,0,1,195.2608696,195.2608696,0.010869565,0.010869565,0,0,0,0,3,0,3,1,1,1,1,1,1,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Examples/Infovis/Cxx/CustomLinkView,0,31,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Examples/Infovis/Cxx/EasyView,0,25,0,1,10,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Examples/Infovis/Cxx/StatsView,0,22,0,1,10,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Examples/ParallelProcessing/Generic/Cxx,0,13,0,1,12,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Filtering,0,13516,0.31695768,219,54617,35,21,19,2,0.456621005,0.882672578,0.340425532,0.060313576,19,17,2,0.931034483,4,5,16,709.6134454,12090.74066,0.024390244,0.114153262,25,25,0.04109589,0.043855688,26,21,5,0.870967742,0,0.870967742,0.816562155,0.870967742,0.770848532,VTK,25,250,18,22,0,0,0,5,58,44,17,1,0
GenericFiltering,0,646,0.753869969,7,1705,0,3,0,3,0.571428571,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,0,9,0,1,1,0,0,0,1,6,0,0,0
Geovis,0,1127,0.670807453,5,3308,2,5,0,5,0.2,0.998120208,0.4,0.003022975,3,0,3,1,1,0,2,7201.0625,7201.0625,0.3125,0.3125,1,1,0,0,7,0,7,0.666666667,0,0.666666667,0.777777778,0.666666667,0.450980392,VTK,0,29,1,2,0,0,0,0,0,0,2,0,0
Graphics,0,23690,0.43613339,73,54600,12,23,18,5,0.328767123,0.978537809,0.25,0.015824981,10,0,10,0.666666667,0,2,7,143.8970588,14049.04942,0.058823529,0.084256819,14,14,0.020547945,0.020547945,16,0,16,0.571428571,0,0.571428571,0.531599737,0.464285714,0.392557023,VTK,38,297,19,42,0,0,0,12,34,70,15,1,0
GUISupport/MFC,0,220,0.15,3,19,0,1,0,1,1,0.968392514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,1,1,1,1,1,1,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
GUISupport/Qt,2,1284,0.246105919,19,2954,4,7,0,7,0.473684211,0.989136354,0.222222222,0.32721827,10,0,10,1,0,1,1,2138.911458,9925.566953,0.065357143,0.074364901,1,1,0,0.030075188,20,0,20,0.8,0,0.8,0.839487179,0.792857143,0.650229183,VTK,4,17,2,2,0,0,0,1,1,0,1,0,0
GUISupport/Qt/Chart,0,2817,0.073127441,2,12029,1,2,0,2,0.5,1,1,1,4,0,4,1,0,1,2,9589.129431,9589.129431,0.08337266,0.08337266,1,1,0,0.166666667,7,0,7,0.666666667,0,0.8,0.866666667,0.666666667,0.450980392,VTK,18,0,0,0,0,0,0,0,0,0,0,0,0
Hybrid,0,7070,0.636350778,127,20563,6,14,11,3,0.653543307,0.846398646,0.112068966,0.05648153,6,0,6,0.8,2,0,1,29049.47619,80807.80212,0.06512605,0.074502618,7,9,0,0.031496063,15,0,15,0.636363636,0,0.636363636,0.700196268,0.636363636,0.460238054,VTK,25,76,6,19,0,0,0,4,8,20,6,0,0
Imaging,1,4740,0.814556962,33,17838,2,8,5,3,0.575757576,0.989811257,0.333333333,0.059698506,5,0,5,0.8,2,0,4,216.5396825,9993.016992,0.104761905,0.14954703,1,1,0.151515152,0.147186147,10,0,10,0.555555556,1,0.555555556,0.700901747,0.555555556,0.498606133,VTK,5,124,5,3,0,0,0,1,45,31,2,0,0
Infovis,0,5880,0.760714286,69,18641,2,14,11,3,0.550724638,0.990264149,0.119402985,0.007312317,6,0,6,0.6,0,0,3,9617.194444,9912.281481,0.083333333,0.066402116,5,5,0,0.01242236,13,0,13,0.428571429,0,0.428571429,0.469387755,0.428571429,0.329331733,VTK,9,150,14,2,0,0,0,1,1,20,3,0,0
IO,0,10517,0.532756489,42,30016,2,11,6,5,0.428571429,0.992424219,0.238095238,0.005539231,8,0,8,0.714285714,3,0,4,2233.565341,613040.0043,0.043560606,0.116199124,3,5,0.071428571,0.119047619,15,0,15,0.555555556,0,0.555555556,0.594017094,0.555555556,0.409586057,VTK,32,210,13,23,0,0,0,8,1,38,21,1,0
Parallel,0,6576,0.444038929,96,19314,15,15,10,5,0.489583333,0.932981048,0.355932203,0.037752623,10,7,3,0.94,0,1,9,1151.95,15387.01407,0.05,0.171602926,7,8,0.020833333,0.02879902,15,10,5,0.921568627,0,0.921568627,0.878572344,0.921568627,0.844278573,VTK,18,105,2,15,0,0,0,3,10,19,9,0,0
Rendering,1,28187,0.269414979,102,57867,6,20,17,3,0.274509804,0.984537799,0.237623762,0.042554313,13,6,7,0.95,3,1,11,1664.2,25461.36544,0.111111111,0.131357181,3,14,0.034313725,0.092760181,23,12,11,0.785714286,0,0.785714286,0.785631432,0.785714286,0.667253901,VTK,38,283,13,23,0,0,0,12,17,47,12,2,0
Rendering/fonts,0,24,0,1,108,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
TextAnalysis,0,588,0.613945578,2,2166,0,1,0,1,1,0.995904547,0.5,0.998153278,2,0,2,1,0,1,1,5.23388582,5.23388582,0.000460405,0.000460405,0,0,0,0,3,0,3,1,1,1,1,0.794871795,0.794871795,VTK,0,24,0,0,0,0,0,0,0,4,0,0,0
Utilities,0,433,0,8,438,0,4,0,4,0.375,0.934165373,0,0,5,0,5,1,0,0,0,0,0,0,0,0,0,0.375,0.375,6,0,6,1,1,1,1,1,1,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/Cosmo,0,1003,0.085742772,2,2590,0,2,0,2,0.5,0.986951379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,2,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/DICOMParser,0,608,0.082236842,2,226,0,2,0,2,0.5,0.976614669,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,1,1,1,1,1,VTK,5,0,1,2,0,0,0,0,0,0,0,0,0
Utilities/ftgl/demo,0,882,0.156462585,1,1568,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/ftgl/src,0,2401,0.141607664,4,6019,1,3,0,3,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,1,1,1,1,0.019607843,0.019607843,VTK,1,0,1,0,0,0,0,1,0,1,0,0,0
Utilities/ftgl/src/NoSTL,0,273,0.164835165,2,581,0,2,0,2,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/kwsys,0,5394,0.17982944,2,9116,0,2,0,2,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,17,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/LSDyna,0,204,0.078431373,22,1050,0,2,1,1,0.954545455,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,1,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/mrmpi/examples,0,906,0.101545254,1,1295,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,2,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/mrmpi/mpistubs,0,238,0.281512605,1,450,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/mrmpi/src,0,2414,0.186412593,1,3971,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,2,0,0,0,0,0,0,0,2,0,1,0,0
Utilities/octree,0,162,0.166666667,2,24,0,2,0,2,0.5,0.985970561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,1,1,1,1,1,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/OutputWindowProcess,0,104,0.076923078,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,1,1,1,1,1,VTK,1,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/ParseOGLExt,0,14,0,1,14,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/ParseOGLExt/headers,0,2169,0,1,18,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,4,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/ParseOGLExt/headers/GL3,0,469,0,1,6,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/TclTk/internals/tk8.2,0,1989,0,1,7418,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/TclTk/internals/tk8.3,0,2085,0,1,9237,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,4,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/TclTk/internals/tk8.4,0,2224,0,1,11296,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,2,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/TclTk/internals/tk8.5,0,2837,0,1,15172,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/TclTk/internals/tk8.6,0,2919,0,1,15451,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,1,1,1,1,1,VTK,54,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/utf8/source/utf8,0,611,0.238952537,3,860,0,3,0,3,0.333333333,1,0.333333333,0.006976744,0,0,0,0,1,0,0,7982.3,7982.3,0.166666667,0.166666667,0,0,0,0,1,0,1,1,1,1,1,1,1,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/verdict,0,6805,0.224246877,2,10971,0,2,0,2,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,1,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/verdict/metric_plotter,0,403,0.111662531,1,539,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/VPIC,0,390,0.187179487,2,743,0,2,0,2,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/vtkalglib,0,3573,0.139378673,2,5752,0,2,0,2,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/vtkalglib/alglib,0,878,0.091116173,1,2184,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/vtkexodus2,0,16991,0.185392266,5,47396,0,2,0,2,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,3,1,1,1,1,1,1,VTK,3,0,0,0,0,0,0,0,0,0,0,0,0
